tag,value,type,label,label_cn,only_bj,use
amenity,parking,way,poi-parking,停车场,0,1
amenity,parking,node,poi-parking,停车场,0,1
barrier,toll_booth,node,poi-toll_booth,收费站,0,1
barrier,toll_booth,way,poi-toll_booth,收费站,0,1
building,apartments,way,poi-apartments,公寓,0,1
building,apartments,node,poi-apartments,公寓,0,1
building,commercial,way,poi-commercial,商业建筑,0,1
building,commercial,node,poi-commercial,商业建筑,0,1
building,dormitory,way,poi-dormitory,宿舍,0,1
building,greenhouse,way,poi-greenhouse,温室,0,1
building,hospital,way,poi-building,建筑,0,1
building,hospital,node,poi-building,建筑,0,1
building,industrial,way,poi-industrial,工业建筑,0,1
building,industrial,node,poi-industrial,工业建筑,0,1
building,office,way,poi-office,写字楼,0,1
building,office,node,poi-office,写字楼,0,1
building,residential,way,poi-residential,居民楼,0,1
building,residential,node,poi-residential,居民楼,0,1
building,retail,way,poi-building,建筑,0,1
building,retail,node,poi-building,建筑,0,1
building,roof,way,poi-building,建筑,0,1
building,roof,node,poi-building,建筑,0,1
building,school,way,poi-building,建筑,0,1
building,school,node,poi-building,建筑,0,1
building,train_station,way,poi-building,建筑,0,1
building,university,way,poi-building,建筑,0,1
building,university,node,poi-building,建筑,0,1
highway,crossing,node,way-crossing,交叉口,0,1
highway,living_street,way,way-living_street,生活区道路,0,1
highway,motorway,way,way-motorway,高速公路,0,1
highway,motorway_junction,node,way-motorway_junction,高速公路出入口,0,1
highway,motorway_link,way,way-motorway_link,高速公路连接路,0,1
highway,path,way,way-path,小径,0,1
highway,pedestrian,way,way-pedestrian,步行街,0,1
highway,primary,way,way-primary,一级道路,1,1
highway,primary_link,way,way-primary_link,一级道路连接路,0,1
highway,residential,way,way-residential,居住区道路,0,1
highway,residential,node,way-residential,居住区道路,0,1
highway,road,way,way-road,一般道路,0,1
highway,secondary,way,way-secondary,二级道路,1,1
highway,secondary_link,way,way-secondary_link,二级道路连接路,0,1
highway,service,way,way-service,服务道路,1,1
highway,services,node,way-services,高速路服务区,0,1
highway,services,way,way-services,高速路服务区,0,1
highway,tertiary,way,way-tertiary,街道,1,1
highway,tertiary_link,way,way-tertiary_link,街道连接路,0,1
highway,track,way,way-track,农业道路,0,1
highway,trunk,way,way-trunk,主干道,0,1
highway,trunk_link,way,way-trunk_link,主干道连接路,0,1
highway,unclassified,way,way-unclassified,未分类道路,1,1
junction,roundabout,way,way-roundabout,环岛,0,1
landuse,farm,way,landuse-farm,农场,0,1
landuse,farm,node,landuse-farm,农场,0,1
landuse,farmland,way,landuse-farm,农场,0,1
landuse,farmyard,way,landuse-farm,农场,0,1
landuse,farmyard,node,landuse-farm,农场,0,1
landuse,forest,way,landuse-forest,森林,0,1
landuse,forest,node,landuse-forest,森林,0,1
landuse,greenhouse_horticulture,way,poi-greenhouse,温室,0,1
landuse,quarry,way,landuse-quarry,采矿场,0,1
landuse,quarry,node,landuse-quarry,采矿场,0,1
landuse,reservoir,way,landuse-reservoir,水库,0,1
landuse,reservoir,node,landuse-reservoir,水库,0,1
leisure,pitch,way,poi-pitch,绿茵场,0,1
leisure,stadium,way,poi-stadium,体育馆,0,1
leisure,stadium,node,poi-stadium,体育馆,0,1
leisure,swimming_pool,way,poi-swimming_pool,游泳池,0,1
leisure,swimming_pool,node,poi-swimming_pool,游泳池,0,1
man_made,chimney,node,poi-chimney,烟囱,0,1
man_made,chimney,way,poi-chimney,烟囱,0,1
man_made,pier,way,poi-pier,码头,0,1
man_made,pier,way,poi-pier,码头,0,1
man_made,storage_tank,way,poi-storage_tank,存储罐,0,1
man_made,storage_tank,node,poi-storage_tank,存储罐,0,1
natural,bay,way,poi-bay,海湾,0,1
natural,bay,node,poi-bay,海湾,0,1
natural,beach,way,poi-beach,沙滩,0,1
natural,beach,node,poi-beach,沙滩,0,1
natural,cliff,way,poi-cliff,悬崖,0,1
natural,cliff,node,poi-cliff,悬崖,0,1
natural,coastline,way,poi-coastline,海岸,0,1
natural,glacier,way,poi-glacier,冰川区,0,1
natural,peak,node,poi-peak,山峰,0,1
natural,ridge,way,poi-ridge,山岭,0,1
natural,ridge,node,poi-ridge,山岭,0,1
natural,scrub,way,landuse-scrub,灌木,0,1
natural,scrub,way,landuse-scrub,灌木,0,1
natural,tree,way,poi-tree,树木,0,1
natural,tree,node,poi-tree,树木,0,1
natural,tree_row,way,poi-tree,树木,0,1
natural,water,way,poi-water,水域,0,1
natural,water,node,poi-water,水域,0,1
natural,wetland,way,poi-wetland,湿地,0,1
natural,wetland,node,poi-wetland,湿地,0,1
natural,wood,way,landuse-wood,林地,0,1
natural,wood,node,landuse-wood,林地,0,1
place,village,node,poi-village,村庄,0,1
power,generator,way,poi-generator,风力发电机,0,1
power,generator,node,poi-generator,风力发电机,0,1
railway,platform,way,way-platform,月台,0,1
railway,rail,way,way-rail,铁路,0,1
service,alley,way,poi-alley,胡同,0,1
sport,basketball,way,landuse-basketball,篮球场,0,1
sport,tennis,way,landuse-tennis,网球场,0,1
water,lake,way,landuse-lake,湖泊,0,1
water,pond,way,landuse-pond,池塘,0,1
water,reservoir,way,landuse-reservoir,水池,0,1
waterway,ditch,way,landuse-ditch,沟渠,0,1
waterway,drain,way,landuse-ditch,沟渠,0,1
waterway,river,way,landuse-river,河流,0,1
waterway,riverbank,way,landuse-riverbank,河岸,0,1
waterway,stream,way,landuse-river,河流,0,1
waterway,weir,way,landuse-weir,河堰,0,1
